,id,ID,cycexp,G2_year,YOB,famfriends,cycling_test,walk_test,downtown_test,downtown_tor,turn_num,MV,PED,CYC,direction,control_type,failure
112,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T4,2.333333333,2.666666667,1,Right,Signalized,No
113,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T5,1,1,1,Left,Uncontrolled,Yes
114,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T6,1,2,1,Left,Signalized,No
115,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T7,2.666666667,1,1,Left,Uncontrolled,Yes
116,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T8,2,1,1,Right,Uncontrolled,No
117,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T9,1.666666667,1.333333333,1,Right,Uncontrolled,No
118,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T10,1,1,1,Right,Signalized,No
119,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T11,2,2,1,Right,Signalized,No
120,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T12,2,1,1,Left,Uncontrolled,No
121,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T13,3,3,1,Right,Signalized,Yes
122,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T14,1,1,1,Right,Uncontrolled,No
123,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T15,1,2,1,Right,Signalized,No
124,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T16,1,1,1,Left,Uncontrolled,No
125,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T17,1,1,1,Left,Signalized,No
126,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T18,3,1,1,Left,Signalized,No
127,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T1,1,1,1,Right,Signalized,No
128,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T2,1,2,1,Left,Signalized,No
129,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T3,1,1,1,Right,Signalized,No
130,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T4,1.333333333,2,1,Right,Signalized,No
131,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T5,2.333333333,1,1,Left,Uncontrolled,No
132,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T6,1,1.666666667,1,Left,Signalized,No
133,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T7,2,1,1,Left,Uncontrolled,No
134,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T8,NA,NA,NA,Right,Uncontrolled,NA
135,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T9,NA,NA,NA,Right,Uncontrolled,NA
136,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T10,1,1,1,Right,Signalized,No
137,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T11,2,2.666666667,1,Right,Signalized,No
138,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T12,1,1,1,Left,Uncontrolled,No
139,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T13,1,1.666666667,1,Right,Signalized,No
140,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T14,1,1,1,Right,Uncontrolled,No
141,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T15,2.666666667,2.333333333,1,Right,Signalized,No
